Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
565,142984,NEEDLE VALVE ASSY,177.00,
566,142987,CAP PLUNGER GUIDE HOLDER,36.00,
567,142989,PLUNGER ASSEMBLY,72.00,
568,142990,GUIDE SCREW,37.00,
569,142991,PACKING F.C.B. 500 CC,6.00,
570,142992,NEEDLE JET,147.00,
571,142994,M.C. TOP,75.00,
572,142995,FL BODY ASSY,127.00,
573,142996,FLOAT ASSY,81.00,
574,142997,MAIN JET 500CC,85.00,
575,143038/C,WEAR INDICATOR,14.00,
576,143040/C,WEAR INDICATOR  PLATE,26.00,
577,143078/1,ALUM. WASHER,3.00,
578,143079/B, CLIP LOCK,8.00,
579,143091,VALVE SPRING KIT,102.00,KIT
580,143092,PUSH ROD KIT (500 CC),609.00,KIT
581,143093,VALVE KIT - 500CC,533.00,KIT
582,143098,MUDGUARD FRONT 350CC - PLATED,1204.00,
583,143132/C,STRAP - BATTERY HOLD,41.00,
584,143133/B,TERMINAL INSULATOR CAP - LIGHTNING,10.00,
585,143134,BATTERY BOX LOCK,72.00,
586,143135,"410  SCREW,    M8 X 16",8.00,
587,143139,REAR BRAKE CAM LEVER ASSY PLATED,74.00,
588,143143,CARB HOSE,23.00,
589,143144/2,CLIP- CARP-HOSE,14.00,
590,143146,"HEX.SOCKET HD.CAP  SCREW,   M8 X 30  IS",16.00,
591,143199/B,BOLT,14.00,
592,143254,SLOTTED CH.HD.SCR.    M5 X 45,3.00,
593,143257,STICKER MUD GUARD REAR EXP GOLD,19.00,Old BVI-Stock avl at warehouse
594,143258,MUDGUARD STICKER DLX,19.00,Old BVI-Stock avl at warehouse
595,143275/B,REFLECTOR,29.00,
596,143285/2,"STUD,   5/16""CEI X 52",18.00,
597,143291,CARBURATOR FLANGE WITH BUSH,99.00,
598,143303/C,"BAR,FOOT REST",157.00,
599,143311,FR.BRAKE CABLE,55.00,
600,143312/A,THROTTLE CABLE,43.00,
601,143314,BUSH,18.00,
602,143321,FR.BRAKE CABLE,55.00,
603,143322/B,THROTTLE CABLE,38.00,
604,143323/A,DECOMPRESSOR CABLE,36.00,
605,143331,"FLEVER ASSY,LH",261.00,
606,143332,CLUTCH LEVER BRACKET,61.00,
607,143333,CLUTCH LEVER,61.00,
608,143336,CLUTCH LEVER FIXING SCREW,6.00,
609,143337,LEVER FIX.SCREW LOCK NUT,4.00,
610,143339,BKT.CL.SCREW WASHER,3.00,
611,143343,.DECOMPRESSOR LEVER,18.00,
612,143347,"LEVER ASSY,RH",258.00,
613,143348,FRONT BRAKE LEVER BRACKET,61.00,
614,143349,FRONT BRAKE LEVER,61.00,
615,143350,FRONT BRAKE LIGHT SWITCH,75.00,
616,143357,REAR VIEW MIRROR  LH,112.00,
617,143358,REAR VIEW MIRROR   RH,117.00,
618,143363,TAIL LAMP SPACER,22.00,
619,143376,TAIL LAMP UK,1994.00,
620,143407,SINGLE COIL SPRING LOCK WASHER,3.00,
621,143409,PLAIN WASHER,3.00,
622,143431,FT.TRAFFI.SPACER-LH,38.00,
623,143478,RESONATOR BOX 500CC PLATED,769.00,
624,143484/B,BREATHER PIPE SHORT,14.00,
625,143485,BREATHER PIPE LONG,20.00,
626,143496/A,WASHER-FIBRE BREATHERBOX DRAIN,6.00,
627,143497/B,CONNECTING TUBE,125.00,
628,143540/B,SPACER,9.00,
629,143548/A,AIR FILTER ELEMENT (NOISE NORMS),149.00,
630,143549,HOSE PIPE,89.00,
631,143576,DUAL SEAT COVER,188.00,
632,143622,HEAD LAMP AIMING DEVICE,761.00,
633,143633,STATOR ASSY,1175.00,
634,143657,SCREW,4.00,
635,143745/2,GEAR LEVER,220.00,
636,143746,REFLEX REFLECTOR AMBER,500.00,
637,143747,REFLEX REFLECTOR RED,500.00,
638,143765,BOTTOM COVER,357.00,
639,143766/B,ROTOR ASSY,1100.00,
640,143777/3,REGULATOR,350.00,
641,143789,FR.WHEEL SPOKES  ( INNER)BK,28.00,
642,143790,RR.WHEEL SPOKES  ( INNER)YELLOW,28.00,
643,143791,FR.WHEEL SPOKES  ( OUTER)WHITE,28.00,
644,143792,RR.WHEEL SPOKES  ( OUTER)GRN,28.00,
645,143818/1,"STUD,   M8 X 32",11.00,
646,143823,SCREW,43.00,
647,143825/1,NUT,14.00,
648,143843/C,GROMMET,14.00,
649,143872, DISTRIBUTOR BODY 350CC,298.00,
650,143885,BRASS NIPPLES,16.00,
651,143898/A,"SPRING,SHORT",8.00,
652,143899/2,"SPRING,LONG",410.00,
653,143906/B,COVER TUBE BUSH,36.00,
654,143907,CH.CASE FRONT HALF STD,1051.00,
655,144008/C,BRAKE ROD - T1,64.00,
656,144012,BREATHER CLAMP,30.00,
657,144020, SPRING WASHER M6,1.00,
658,144037,PULSER COIL ASSY,231.00,
659,144039,GASKET KIT - CAF MATL.,231.00,
660,144040,GASKET SET - ENGINE COMP CAF M,369.00,
661,144055,EXHAUST PIPE STD - PLATED,1189.00,
662,144056,SPARK PLUG CAP,83.00,
663,144059,SPARK PLUG CAP,83.00,
664,144068,CYLINDER BARREL AND PISTON KIT(3 Ring),4093.00,
665,144082,CARBURETTOR FLANGE ASSY,82.00,
666,144083,CARBURETTOR FLANGE (FIN)-500CC,178.00,
667,144123/A,EXHAUST PIPE STD-PLATED NOISE NORMS,1044.00,
668,144127,"0.020"" O/S PISTON WITH GUDGEON PIN",957.00,
669,144128,".040"" O/S PISTON PIN CIRCLIP",901.00,
670,144129,PETROL TAP ADAPTER  FEW,24.00,
671,144131,"DISC, FEED PUMP FWE MODEL",111.00,
672,144133,"DISC, RETURN PUMP FWE MODEL",132.00,
673,144134,OIL PUMP DISC SPRING,29.00,
674,144135/1, CARBURETTOR (EGLI),2250.00,
675,144141/7,TIMING SHAFT,650.00,
676,144143/2,SPRING-OIL RELEASE VALVE,3.00,
677,144144/1,BALL-OIL RELEASE VALVE,2.00,
678,144146,C/B/ASSY/FEW (EGLY),958.00,
679,144159,CYL HEAD 500CC S/ASSY,8323.00,
680,144164/1,PISTON RING SET 87MM(535CC NAUSBAMER),1809.00,
681,144202,  DISTRIBUTOR ASSY 350CC,1339.00,
682,144219/1,SPRING LONG,218.00,
683,144274/1,"6""BRAKE SHOE(BONDED-NON ASBESTOS)",171.00,
684,144275,"7""BRAKE SHOE(BONDED-NON ASBESTOS)",305.00,
685,144286/A,"STUD,    M8 * 1.25",19.00,
686,144287/A,"STUD, M8 * 1.25",20.00,
687,144288/1,PLUG-OIL RELEASE VALVE,14.00,
688,144293,FRONT SPINDLE KIT,268.00,KIT
689,144294,FRONT FORK OIL SEAL KIT,26.00,KIT
690,144295,FRONT WHEEL BEARING KIT,319.00,KIT
691,144296,REAR WHEEL BEARING KIT,487.00,KIT
692,144297,TAPPETS & GUIDE KIT,436.00,KIT
693,144298,ENGINE WASHER KIT,42.00,KIT
694,144331/2,BRACKET,12.00,
695,144339,F.TANK MOTIFF KIT (W/RE LOGO),421.00,KIT
696,144351,BRAKE SWITCH WITH LEAD,72.00,
697,144352/B,WIRING HARNESS TAIL LAMP & T.R,94.00,
698,144353/B,L.H.SWITCH MODULE,434.00,
699,144354/B, SWITCH MODULE RH.NEW,233.00,
700,144355,AMMETER 12V WITH COUPLER,199.00,
701,144357/E,TAIL LAMP STD,177.00,
702,144360/C,SPEEDO METER-12V.3.4 W BULB,509.00,
703,144372/E,PILOT LAMP  ASSY WITH   BULB,69.00,
704,144374,12V TRAFFICATOR REAR-RH,263.00,
705,144375,12V TRAFFICATOR FRONT-RH,200.00,
706,144376,12V TRAFFICATOR FRONT-LH,200.00,
707,144391,TAPPET COVER STUD,22.00,
708,144392,"DOMED CAP NUT, M8",9.00,
709,144420,FORK END RH ASSY,5003.00,
710,144421,FORK END LH ASSY,4930.00,
711,144432/1,CON ROD ASSY 350CC,1295.00,
712,144434/4,CRANKPIN,464.00,
713,144440,"STUD,ROCKER BEARING",32.00,
714,144452/A,WORM NUT,180.00,
715,144456/C, DUPLEX SPROCKET,711.00,
716,144458/3,CLUTCH BONDED PLATE(BROWN),97.00,
717,144459/B,CLUTCH PLATE WITH INSERTS(BLACK),120.00,
718,144460/1,CLUTCH PLAIN PLATE,47.00,
719,144461/1,CLUTCH DISHED PLATE,49.00,
720,144463/A,CLUTCH FRONT PLATE,122.00,
721,144464,CLUTCH ROD PAD,71.00,
722,144465,0RG WASHER,11.00,
723,144466,CLUTCH ROD,41.00,
724,144467,MAIN TUBE 350CC,862.00,
725,144471/A,CUSH RUBBER,41.00,
726,144472,MAIN TUBE 500CC,1561.00,
727,144478,DISTRIBUTOR ASSY 500,1891.00,
728,144480,SHAFT,155.00,
729,144483,DIST OIL SEAL,10.00,
730,144487,CRANK CASE SET ASSY 500CC,11307.00,
731,144488,CRANK CASE D/S 500cc,7876.00,
732,144489,CRANK CASE T/S 500cc,6096.00,
733,144490/2,CON ROD ASSY 500CC,1232.00,
734,144495/3,CLUTCH DRUM ASSY,1371.00,
735,144497,CLUTCH ROD,37.00,
736,144498/3,EXHAUST VALVE 500CC (C F),220.00,
737,144499/2,INLET VALVE 500 CC (C F),141.00,
738,144500,CYLINDER HEAD ASSY 500cc,10585.00,
739,144514,SPEEDO METER BULB 12V 3.4W,17.00,
740,144519,FLASHER BKT AC/DC,10.00,
741,144524/C,LOCK NUT,51.00,
742,144526/A,"PUSHROD ASSY, INLET",252.00,
743,144528/A,"PUSHROD ASSY, EXHAUST",256.00,
744,144568,LEAD HEAD LAMP EUROPE,79.00,
745,144569,LEAD - NEUTRAL INDICATOR SWITCH USA,28.00,
746,144570/D,BRAKE SHOE WITH SHORTER LINING,119.00,
747,144571/B,SPEEDO DRIVE ASSY.(PLASTIC),168.00,
748,144581/F,BALL RACE - FORKCROWN,89.00,
749,144582/F,BALL RACE - FRAME,171.00,
750,144583/F,BALL RACE-HEAD LAMP CASING,123.00,
751,144587,WIRING HARNES,668.00,
752,144591,BANJO UNION,46.00,
753,144593,R.O PIPE BANJO WASHER,6.00,
754,144594,ROCKER OIL PIPE,411.00,
755,144595,GROMMET .,4.00,
756,144600/A,"COPPER WASHER,TAPPET COVER",10.00,
757,144601,D/PLUG WASHER,23.00,
758,144613,10STUD,23.00,
759,144614,SPRING CAP,9.00,
760,144615/B,FELT WASHER,3.00,
761,144616,O.P.COVER GASKET,10.00,
762,144617,TIMING COVER GASK.,36.00,
763,144620,R.BOX GASKET,47.00,
764,144621/A,CH.CASE JT.GASKET.,17.00,
765,144622,CYL.BASE GASKET 350CC,21.00,
766,144623,.ISTR.FL.GASKET,7.00,
767,144627,G.B.CASE GASKET.,19.00,
768,144628,CYL.BASE GASKET 500CC,30.00,
769,144629,CH.CASE JT.GASKET.DL.,30.00,
770,144635,CHAIN CASE O/L PLUG.,8.00,
771,144636/A,COPPER WASHER,7.00,
772,144637,SLOTTED RAISED CHEESE HEAD SCRE,10.00,
773,144638,SLOTTED RAISED CHEESE HEAD SCRE,8.00,
774,144643,CR.CASE JT.GASKET 500CC,79.00,
775,144644,CR.CASE JT.GASKET 500CC,3.00,
776,144645,CARB.FL.GASKET 500CC,10.00,
777,144651,"STICKER P.TANK EXP ""ROYAL ENFIELD"" BLK",67.00,Old BVI-Stock avl at warehouse
778,144663/B,SPEEDOMETER ASSY USA,501.00,
779,144693/D,FLYWHEEL ASSY 500cc- PRV,9130.00,
780,144696/3,TIMING SHAFT 500CC,280.00,
781,144732/A,CARBURETTOR 350CC,1450.00,
782,144749/B,REAR VIEW MIRROR RH,203.00,
783,144750/B,REAR VIEW MIRROR LH,203.00,
784,144752/D,ALTERNATOR(AC/DC)CABL GROMMET,12.00,
785,144766/A,CENTRE STAND SPRING (NEW),23.00,
786,144773/A,VALVE SEAT INSERT (INLET)350CC,193.00,
787,144774/A,VALVE SEAT INSERT (EXH)350CC,196.00,
788,144795,FIBRE WASHER,5.00,
789,144836/E,VALVE GUIDE,55.00,
790,144841,SLOTTED CHEESE HEAD SCREW,6.00,
791,144844,TC FEED PLUG WASHER,10.00,
792,144845/A,GR. BOX OIL LEVEL PLUG WASHER,10.00,
793,144846/A,FILTER GAUZE WASHER COPPER,10.00,
794,144847,PLUG,59.00,
795,144850/B,SLOTTED SET SCREW,4.00,
796,144863/A,DOOM NUT,17.00,
797,144864/G,CHAIN CASE FRONT HALF BFFD (5SPD),2354.00,
798,144883/B,FUEL FILTER ASSEMBY,70.00,
799,144886/C,BRAKE BEDAL RUBBER,36.00,
800,144887/B,FUEL TANK CAP EXPORT,466.00,
801,144915/A,FIBRE WASHER,4.00,
802,144917/4, CHAINCASE FRONT HALF 4 SPEED,902.00,
803,144920/A,FIBRE WASHEr,4.00,
804,144921/B,CHAIN CASE O/L PLUG.,16.00,
805,144922/B,CHAIN CASE OIL INSP.PLUG -W/HOLE,174.00,
806,144943/B,DRAIN PLUG,20.00,
807,144944/A,FILTER GAUZE ASSEMBLY,52.00,
808,144981/B,0 RING,6.00,
809,144983/A,"1/4"" BSW BOLT (23MM LENGTH)",3.00,
810,145016/C,HEAD LAMP COMP W/BULB LHT,922.00,
811,145017/C,HEAD LAMP COMP W/BULB RHT,922.00,
812,145020/C,"FEED PLUG , M16",98.00,
813,145025/C,TIMING COVER OIL FILTER STUD,36.00,
814,145037/A,"WASHER,BANJO UNION BOLT",6.00,
815,145047/B,TIMING COVER- METRIC,1817.00,
816,145066,TAIL LAMP MASK (ARMY,48.00,
817,145074/A,"VALVE SEAT,INLET 500",235.00,
818,145075/A,"VALVE SEAT,EXHAUST 500",444.00,
819,145089/B,SCREW,11.00,
820,145090,HEX.SCREW  M6 X 16  GR.8.8,6.00,
821,145091,NUT,6.00,
822,145102/A,Speedometer-army,528.00,
823,145103/A,"BARREL BASE STUD,M6",10.00,
824,145105/A,"BARREL STUD, M8",32.00,
825,145106/A,"STUD NUT,M8",24.00,
826,145107/A,"CYLINDER HEAD STUD NUT(E),M8*1.25",32.00,
827,145108/B," BARREL STUD, M8",32.00,
828,145109/C,STUD M8,16.00,
829,145112/A,"HEAD JOINT NUT ,M8",11.00,
830,145116/A,BARREL STUD -M8,22.00,
831,145117/A,"STUD,  M6",28.00,
832,145118/A,"STUD,  M6",28.00,
833,145119/B,TAPPET COVER STUD M8,23.00,
834,145120/B,OIL UNION - M8,25.00,
835,145136/3,CRANK CASE D/S 350cc - Metric,"4,600.00",
836,145148/C,MSB CAP,32.00,
837,145164/A,FIBRE WASHER,6.00,
838,145165/B,"CAP NUT,M10 X 1",37.00,
839,145166/2,CHAIN CASE BACK HALF,"1,950.00",
840,145171,WASHER,11.00,
841,145184/B,SCREW -OIL SEAL,8.00,
842,145186/C,CENTER STAND RUBBER STOP (NEW),23.00,
843,145192,HAND GRIP (LH),65.00,
844,145193,HAND GRIP WITH SLEEVE (RH),104.00,
845,145232,HEX.SOCKET HEAD SCREW    M5 X 16,12.00,
846,145233,DOMED CAP NUT- M8 (SS),15.00,
847,145234/A,HEX. HD. SCREW PLUG,27.00,
848,145235/A,HEX.HD. SCREW PLUG,39.00,
849,145236,"SLOTTED CH. HD.SCR,    M5 X 35",15.00,
850,145237/1,SLOTTED RAISED CH. HD.SCREW,25.00,
851,145238/1,SLOTTED CH. HD.SCREW,25.00,
852,145240,FEED PLUG,67.00,
853,145242/1,"SLOTTED RD. HEASD SCREW 3/16""",7.00,
854,145244/2, HEX.BOLT WITH WASHER,57.00,
855,145245/1, BUSH,21.00,
856,145247/1,BOLT,21.00,
857,145248/A,GEAR INDICATOR-M,183.00,
858,145249/A,WASHER PLAIN,15.00,
859,145250/B,SPRING CAP,28.00,
860,145251/D,INSPECTION CAP,21.00,
861,145298/B,FRONT BRAKE CABLE,69.00,
862,145339/A,DRIVE .SPROCKET 16T-HT,322.00,
863,145346/A,OIL SEAL,12.00,
864,145350,CRANKCASE ASSY W/FLYWHEEL 350cc - MATRIC,20566.00,
865,145351/B,CRANK CASE SET ASSY 350CC - METRIC,18281.00,
866,145352/C,CRANK CASE T/S 350cc - Metric,"5,950.00",
867,145357/A,'O' RING,6.00,
868,145368/A,PETROL TANK RUBBER SLEEVE LONG,39.00,
869,145369/A,SPACER TUBE,12.00,
870,145371,HEAD LIGHT UNIT ASSY. (US),1862.00,
871,145373/A,FR.TRAFFICATOR BKT LH,33.00,
872,145374/A,MR.TRAFFICATOR BKT RH,33.00,
873,145375/A,COMMON KEY SET AC/DC IMP. STG. LCK,751.00,
874,145377/A,REGULATOR CUM RECTIFIER,855.00,
875,145406/A,FRONT DRIVE SPROCKET 500CC,800.00,
876,145407/A,F.D. SPROCKET 18 T,347.00,
877,145408/D,CLUTCH CABLE - MODIFIED,62.00,
878,145413/D,SIDE STAND ASSY (MODIFIED),416.00,
879,145422/A,"LEVER ASSY,RH",300.00,
880,145430/B,DRIVE SHAFT,481.00,
881,145434/A,SILENCER ASSY NOISE NORMS,1427.00,
882,145435/A,SILENCER STD-PLATED (NOISE NORMS),1966.00,
883,145438/B,RELUCTOR / SPACER,408.00,
884,145439/A,CDI UNIT,1175.00,
885,145446/A,BALL RACE COVER,11.00,
886,145448/B,RESO. BOX PLTD W/NIPPLE (PLATED),518.00,
887,145455/B,BREATHER PIPE(14 OD/ 10 ID)- 155 L,21.00,
888,145456/A,PVC BEADING - RESONATOR BOX - 412MM,6.00,
889,145463/A,CH.CASE BACK HALF CDI,1510.00,
890,145464/1,CH.CASE FRONT HALF CDI,1283.00,
891,145475/A,HELMET LOCK WITH TWO KEYS,210.00,
892,145476/A,HELMET BRACKET,23.00,
893,145484/A,BOSS FR SIDE STAND PWDR COATED (25MM),58.00,
894,145485/A,BOSS FOR SIDE STAND POWDER COATED,70.00,
895,145501/A,GASKET,6.00,
896,145504/B,FUEL TAP ASSY -EUROPEAN,210.00,
897,145510/A,SERIES INTEGERAL RECTIFIER REGULATOR ASY,574.00,
898,145522/A,HAND GRIP LH,42.00,
899,145540/A,PILLION FOOT REST MODI. LH,117.00,
900,145541/A,PILLION FOOT REST MODI.- RH,117.00,
901,145543/B,"RMG CARR STUD BOTTOM 1/2 ""CEI X",41.00,
902,145553/B,RUBBER SEALED BEARING (DOUBLE SIDED),223.00,
903,145554/A, STEADY STAY,23.00,
904,145556/A,REAR CHAIN - 'O' RING,541.00,
905,145575/B,FUEL TAP ASSY- CLASSIC350,245.00,
906,145578/B,MAIN CABLE AC/DC PETROL EXPORT,459.00,
907,145580/A,SLOTTED CHEESE HEAD SCREW,7.00,
908,145585/A,BR.SHOE ASSY FT (W/STOCK) DOMESTIC,244.00,
909,145593/A,SHOE PIN,61.00,
910,145677/B,SILENCER - AFTER MAKT(W/BRKT) PLATED,1736.00,AFTERMARKET PARTS
911,145680/E,SIDE STAND ASSY PLATED,457.00,
912,145681/A,PLUG,47.00,
913,145713/B,THROTTLE CABLE - REFRESH ELECTRA,66.00,
914,145728/B,CABLE STRAP - BLACK,4.00,
915,145754/B,OPERATING CAM -FRONT,116.00,
916,145756/A,  FT SHOE ASSY ASB FR,305.00,
917,145780/B,CLUTCH CENTER-ASSY,648.00,
918,145781/A,CH ROD (IMPROVED CLUTCH),30.00,
919,145782/A,CLUTCH CABLE -IMPROVED,111.00,
920,145783/A,CLUTCH LEVER,188.00,
921,145787/C,SILENCER REF.ELECTRA WITH TAIL PIPE MODI,2393.00,
922,145793/A,FUEL TANK MOTIFF (W/RE LOGO) RH,230.00,Old BVI-Stock avl at warehouse
923,145794/A,FUEL TANK MOTIFF (W/RE LOGO) LH,230.00,Old BVI-Stock avl at warehouse
924,145802/A,TRAFFICATOR RH (RR)-BULLET X,238.00,
925,145806/A,TRAFFICATOR LH (FT)-BULLET X,238.00,
926,145807/A,TRAFFICATOR LH (RR)-BULLET X,378.00,
927,145832/A,CAP NUT,59.00,
928,145833/A,PLUG M24*1,112.00,
929,145834/A,`O' RING,4.00,
930,145835/A,`O' RING 26.5mm,6.00,
931,145843/A,`O' RING (25 MM),6.00,
932,145844/A,OIL FILLER COLLAR M/C-MODIFIED.,103.00,
933,145851/A,TUBE - PETROL TANK MOUNTING,22.00,
934,145854,"CONNECTIN LINK (""O"" RING CHAIN)",29.00,
935,145857/A,FLANGED HEX BOLT 1/2X16TPIX130,135.00,
936,145858/A,HEX BOLT 1/2X16TPIX255,136.00,
937,145864/A,FLANGED HEX BOLT M8X5,16.00,
938,145865/A,FLANGED SERRATED NUT M10X1.5,7.00,
939,145866/A,FLANGE NUT M6X1,8.00,
940,145869/A,FUEL TANK SLEEVE-SHORT,37.00,
941,145870/A,FUEL TANK SLEEVE-LONG,35.00,
942,145871/A, FLANGE SERRATED NUT 3/8BSF,18.00,
943,145873/A,FLANGED HEX BOLT M8X1.25X85,22.00,
944,145874/A,FLANGED HEX BOLT M8X1.25X90,33.00,
945,145875/A,FLANGED HEX BOLT M10X1.25X75,31.00,
946,145877/A,FLANGED HEX BOLT M8X1.25X50,16.00,
947,145882/A, CROSSED RAISE PAN HEAD SC,8.00,
948,145883/A,SLOTTED RD. HD.SCREW,4.00,
949,145885/B,SPACER STUD,126.00,
950,145886/A,SLEEVE (FOR PETROL TANK),36.00,
951,145889/A,FULCRUM STUD,52.00,
952,145901/A,FT. EXTN PLASTIC PIECE MUDGUARD,29.00,
953,145912/A,HORN LH,249.00,
954,145921/A,"LEVER ASSY,LH (LONGER)",215.00,
955,145936/A,TIMING COVER - SLOTTED SCREW LO,18.00,
956,145937/A,TIMING COVER - SLOTTED SCREW (S,15.00,
957,145938/A,STUD,19.00,
958,145939/A,STUD,34.00,
959,145940/B,FORK END RH ASSY. DISC,2891.00,
960,145941/B,FORK END LH ASSY. DISC,2891.00,
961,145946/A,HEAVY CRANK ASSY,9293.00,
962,145956/A,DISTRIBUTOR BODY (SUPERFINISH),517.00,
963,145957/A,CHAIN CASE B/HALF E- START(SUPER FINISH),4512.00,
964,145959/A,DRIVE COVER E.START (SUPER FINISH),1009.00,
965,145967/A,FORK END NS (SUPERFINISH),2322.00,
966,145976/B,CLUTCH ASSY COMPLETE (5 SPLINES) 4SP,2806.00,
967,145978/A,CLUTCH SPROCKET DRUM,157.00,
968,145980/D,SPEEDOCABLE COMPLETE,109.00,
969,145981/C,HEAD LAMP ASSY WITH BULB,808.00,
970,145984/A,EXHAUST VALVE 500CC (STELLITE),449.00,
971,145989/B,HANDLE BAR - REFRESH ELECTRA,419.00,
972,145994/B,MAIN CABLE HARNESS-REFRESH ELECTRA,697.00,
973,145996/A,CLUTCH CONTROL ASSY,283.00,
974,146000,12V 45/40W BULB P45T,61.00,
975,146025/B,BREATHER BOX ASSY,197.00,
976,146029/A,CLUTCH SPRING YELLOW,6.00,
977,146030/C,DOME  NUT,63.00,
978,146031/A,'O' RING,10.00,
979,146032/A,M8 X 48 HEX SS BOLT (304 GRADE),50.00,
980,146034/A,CENTRE STAND SPRING BX(PC),18.00,
981,146040/A,"VALVE , INLET",182.00,
982,146041/A,"VALVE ,EXHAUST",231.00,
983,146042/A,STICKER DG FUEL TANK GOLD,533.00,Old BVI-Stock avl at warehouse
984,146043/A,STICKER TOOLBOX(RIVERA RED BODY),82.00,Old BVI-Stock avl at warehouse
985,146044/A,HAND GRIP (WITH ROTOR) COUNTER WT.,55.00,
986,146045/A,SWITCH MODULE RH,320.00,
987,146046/A,GASKET-G`WOOL SILENCER,10.00,
988,146058/A,"BAR,FOOT REST -REFRESH ELECTRA",161.00,
989,146059/A,BOSS - REFRESH ELECTRA,48.00,
990,146069/A,"LEVER ASSY, LH",450.00,
991,146070/A,"LEVER ASSY, RH (REFRESH ELECTRA)",335.00,
992,146073/A,GLASS WOOL,105.00,
993,146075/D,RUBBER SUPPORT (RR),32.00,
994,146080/C,HANDLEBAR ASSY - COMPLETE DRUM,2103.00,
995,146095/A,HANDLE BAR ASSY COMPT.-DISC BRAKE-ELECTR,1686.00,
996,146098/A,FULCRUM STUD,41.00,
997,146125/A,AMMETER-BULLET X,171.00,
998,146131/B,SPEEDO METER-BULLET X KMPH,692.00,
999,146134/C,BATTERY 12MF 14L,3526.00,
1000,146135/C,MAIN CABLE HARNESS-3 PH.TCI,1003.00,
1001,146147/C,SIDE STAND SWITCH - BULLET X,272.00,
1002,146152/A,STICKER DG FUEL TANK CHROME,567.00,Old BVI-Stock avl at warehouse
1003,146154/A, STICKER TOOLBOX(DARK SILV,93.00,Old BVI-Stock avl at warehouse
1004,146156/C,TRAFFICATOR LH - REFRESH ELECTRA,274.00,
1005,146157/C,TRAFFICATOR RH  - REFRESH ELECTRA,275.00,
1006,146162/A,TAIL CUP - PLATED,190.00,
1007,146165/D,THROTTLE CABLE-BULLET X,60.00,
1008,146167/F,BELLOW-BULLET X,138.00,
1009,146168/B,HORN-BULLET X,322.00,
1010,146171/B,ADAPTER- BREATHER PIPE,25.00,
1011,146172/C,BREATHER PIPE,70.00,
1012,146173/C,RELAY HOLDER,54.00,
1013,146175/A,FT.BR.CABLE ADJUSTER TB,35.00,
1014,146181/A,CYLINDER HEAD ASSY 500CC (SINTED V.SEAT),12199.00,
1015,146182/A,CYLINDER HEAD ASSY ES (SINTED V.SEAT),8620.00,
1016,146189,COMMON KEY SET-BULLET X,762.00,
1017,146198/B,DISC BRAKE SYSTEM - VOM & BX,4900.00,
1018,146199/A,MASTER CYLINDER,1806.00,
1019,146201,AIR HOSE VALVE,7.00,
1020,146202,O-RING,6.00,
1021,146203,SCREW FOR AIR HOSE VALVE,16.00,
1022,146204,O RING,8.00,
1023,146205,SCREW,6.00,
1024,146210,Fork end RH,1007.00,
1025,146212,FORK END RH COMPLETE - GAB,1204.00,
1026,146213,FORK END LH CASTING,1289.00,
1027,146214,MAIN TUBE 350CC - INNER TUBE,1463.00,
1028,146215,PISTON - T1 FORK ASSY,167.00,
1029,146216,SPRING 2 - T1 FORK ASSY,8.00,
1030,146217,OIL SEAL - T1 FORK ASSY,112.00,
1031,146218,CIRCLIP - GABRIEL T1 FORK ASSY,4.00,
1032,146219,DUST SEAL - T1 FORK ASSY,68.00,
1033,146220,TAPER SPINDLE - T1 FORK ASSY,58.00,
1034,146221,GASKET - T1 FORK ASSY,4.00,
1035,146222,BOLT HEX SOC HEAD - T1 FORK ASSY,23.00,
1036,146223,SPRING 1 - T1 FORK ASSY,118.00,
1037,146224,`O' RING - T1 FORK ASSY,6.00,
1038,146225,BOLT CAP - T1 FORK ASSY,69.00,
1039,146226,PISTON RING - T1 FORK ASSY,8.00,
1040,146228,WASHER - GABRIEL T1 FORK ASSY,16.00,
1041,146229,SPACER - T1 FORK ASSY,15.00,
1042,146231,BOLT S S - GABRIEL T1 FORK ASSY,25.00,
1043,146237,WASHER  - T1 FORK ASSY,3.00,
1044,146238,NUT -GABRIEL T1 FORK,4.00,
1045,146242/C,RELAY STARTER - BULLET X,386.00,
1046,146243/C,RUBBER SUPPORT FRONT,18.00,
1047,146244/C,BATTERY COVER BULLET X,46.00,
1048,146250/A,TOOL BOX STICKER 500,47.00,
1049,146256/A,'O' RING,5.00,
1050,146261/A,DISTANCE TUBE OUTER - PLASTIC,26.00,
1051,146275/B,NIPPLE,37.00,
1052,146276/B,BREATHER RETURN PIPE,82.00,
1053,146277/A,HEX.SCREW,17.00,
1054,146280/A,CLUTCH CABLE-BULLET X,170.00,
1055,146281/C,DECOMPRESSOR CABLE-BULLET X,39.00,
1056,146293/A,BRAIDED HOSE - HOMOLOGATION,298.00,
1057,146297/C,SPEEDO METER-BULLET X ( MPH),602.00,
1058,146305/E,MUDGUARD GROMMET,38.00,
1059,146313/C,RING CLAMP TOP BX,15.00,
1060,146318/A,SS HOSE CLIP,51.00,
1061,146320/C,FOOTREST ASSY. RH - BULLET X,235.00,
1062,146321/C,FOOTREST ASSY. LH - BULLET X,235.00,
1063,146322/D,FRONT WHEEL ASSY CLASSIC EFI (EXPORT),24248.00,
