Sl.No,Material,DESCRIPTION,MRP(Rs),REMARKS
463,141954,THROTTLE VALUE SPRING,10.00,
464,141955,SPRINGPLATE STARTER LEVER,18.00,
465,141956,THROTTLE CABLE CAP,14.00,
466,141957,PISTON VALVE - 350 CC,150.00,
467,141958,THROTTLE ADJUSTER,36.00,
468,141959,SPRING PLATE,8.00,
469,141960,STARTER PLUNGER SPRING,3.00,
470,141961,STARTER PLUNGER CAP,14.00,
471,141962,GUIDE HOLDER,19.00,
472,141963,SPRING WASHER,3.00,
473,141964,SCREW,6.00,
474,141965,SPRING CLIP,22.00,
475,141966,WASHER,4.00,
476,141967,VALVE SEAT PACKING,4.00,
477,141968,FCB ASSY 350CC,108.00,
478,141969,NEEDLE VALVE ASSY.,173.00,
479,141970,FLOAT ASSY,74.00,
480,141971,14STOCK LEVER ASSY.,46.00,
481,141972,STARTER PLUNGER ASSY,49.00,
482,141973,M.C. TOP,26.00,
483,141974,PACKING M.C. TOP,29.00,
484,141975,CABLE LOCK NUT,6.00,
485,141976,CABLE ADJUSTER,21.00,
486,141977,PILOT JET (SIZE 25),68.00,
487,141978,NEEDLE JET ASSY (N.8),105.00,
488,141988/6,CONTACT BREAKER SHAFT,178.00,
489,141990,PUSH ROD KIT,460.00,KIT
490,141991,CAM KIT,1958.00,KIT
491,141992,CLUTCH PLATE KIT,300.00,KIT
492,142029,PLAIN WASHER,2.00,
493,142065,SLOT CHEESE H/D SCREW M5X20 -T1,3.00,
494,142114,"HEX.NUT,   M10",3.00,
495,142119,SINGLE COIL SPRING LOCK WASHER,1.00,
496,142120,HEX.SCREW,11.00,
497,142121/A,SCREW,10.00,
498,142130,DUAL SEAT CIVILIAN,1557.00,
499,142138,ADJUSTER,26.00,
500,142175/3,SPOKES INNER FRONT,7.00,
501,142176,SPOKES OUTER FRONT,7.00,
502,142179,HOSE CLIP-AIR FILTER,30.00,
503,142188,PISTON RING-TOP,160.00,
504,142189,PISTON RING-LOWER,131.00,
505,142190,PISTON RING-SCRAPPER,118.00,
506,142201/A,VALVE SPR.INNER-500CC,36.00,
507,142202/A,VALVE SPR.OUTER-500CC,77.00,
508,142203,CYLINDER HEAD STUD N,46.00,
509,142204,CYLINDER HEAD STUD(500CC),10.00,
510,142239/C,SPACER,16.00,
511,142246,P T CAP GASKET,6.00,
512,142257/B,STOP PLATE,25.00,
513,142258,HEX.SCREW  M8 X 16,4.00,
514,142274,HEX.SCREW  M6 X 16,4.00,
515,142282,"0.SLOTTED CH. HD.SCR,    M5 X 3",3.00,
516,142291,"HEX.SCREW, M8 X 25",14.00,
517,142301,BULB 12V-50/40W (P 36  CAP),59.00,
518,142391/1,BEADING FOR TB 71CM,4.00,
519,142438,PISTON C/W RINGS  (500CC),4060.00,KIT
520,142471,CARB FL WASHER,10.00,
521,142476/B, C B COVER PLATED,108.00,
522,142497,"T/S ROLLER BEARING,NU205",278.00,
523,142502,PILLION FOOT REST,102.00,
